#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s),,
161,Thea-The-Awakening,20-Nov-15,$19.99,77% (90%,73%),"100,000?..?200,000",00:20 (00:06),MuHa Games,MuHa Games,
159,Mad-Max,1-Sep-15,$19.99,74% (89%,73%),"1,000,000?..?2,000,000",07:08 (02:38),"Avalanche Studios, Feral Interactive (Mac), Feral Interactive (Linux)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)",
157,Lemma,12-May-15,$14.99,66% (86%,73%),"20,000?..?50,000",00:00 (00:00),Helvetica Scenario,Helvetica Scenario,
154,Hard-West,18-Nov-15,$19.99,45% (77%,73%),"200,000?..?500,000",00:49 (00:32),CreativeForge Games,Good Shepherd Entertainment,
160,0RBITALIS,28-May-15,$9.99,38% (73%,73%),"20,000?..?50,000",00:00 (00:00),Alan Zucconi,Mastertronic,
155,MASSIVE-CHALICE,1-Jun-15,$19.99,33% (70%,73%),"200,000?..?500,000",05:21 (01:47),Double Fine Productions,Double Fine Productions,
153,Cars,24-Feb-15,$19.99,33% (70%,73%),"0?..?20,000",00:00 (00:00),Beenox,"THQ, Disney Interactive",
158,Call-of-Duty-Black-Ops-III,5-Nov-15,$59.99,24% (64%,73%),"1,000,000?..?2,000,000",04:46 (01:31),Treyarch,Activision,
156,Blues-and-Bullets,23-Jul-15,$4.99,24% (64%,73%),"20,000?..?50,000",00:00 (00:00),A Crowd of Monsters,A Crowd of Monsters,
175,hyperdimension-neptunia-rebirth1,29-Jan-15,$24.99,93% (95%,72%),"200,000?..?500,000",20:13 (26:05),"IDEA FACTORY Co., Ltd., COMPILE HEART Co., Ltd., FELISTELLA Co., Ltd.","Idea Factory International, Inc., IDEA FACTORY Co., Ltd.",
171,Tormentum---Dark-Sorrow,4-Mar-15,$11.99,87% (93%,72%),"50,000?..?100,000",01:45 (00:35),OhNoo Studio,OhNoo Studio,
166,Adventures-of-Pip,4-Jun-15,$14.99,71% (88%,72%),"20,000?..?50,000",00:00 (00:00),TicToc Games,TicToc Games,
163,Zombie-Army-Trilogy,6-Mar-15,$44.99,66% (86%,72%),"500,000?..?1,000,000",02:18 (02:37),Rebellion,Rebellion,
165,UnderRail,18-Dec-15,$14.99,66% (86%,72%),"100,000?..?200,000",00:03 (00:01),Stygian Software,Stygian Software,
173,LEGO-Jurassic-World,11-Jun-15,$19.99,58% (83%,72%),"200,000?..?500,000",07:07 (11:47),"TT Games Ltd, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",
162,Convoy,21-Apr-15,$14.99,47% (78%,72%),"50,000?..?100,000",00:15 (00:14),Convoy Games,Indietopia Games,
170,Way-of-the-Samurai-4,23-Jul-15,$24.99,47% (78%,72%),"50,000?..?100,000",08:34 (05:42),ACQUIRE Corp.,Ghostlight LTD,
172,Block-N-Load,30-Apr-15,Free,45% (77%,72%),"2,000,000?..?5,000,000",07:28 (01:15),"Jagex, Artplant",Jagex,
176,Homesick,28-May-15,$14.99,45% (77%,72%),"20,000?..?50,000",00:00 (00:00),Lucky Pause,Lucky Pause,
169,Big-Pharma,27-Aug-15,$24.99,41% (75%,72%),"200,000?..?500,000",04:21 (04:53),Twice Circled,Positech Games,
174,Guild-of-Dungeoneering,14-Jul-15,$14.99,39% (74%,72%),"200,000?..?500,000",00:23 (00:17),Gambrinous,Versus Evil,
167,Warhammer-40000-Regicide,8-Sep-15,$9.99,34% (71%,72%),"100,000?..?200,000",00:00 (00:00),Hammerfall Publishing,Hammerfall Publishing,
168,Anno-2205,3-Nov-15,$39.99,22% (62%,72%),"200,000?..?500,000",00:14 (00:14),Blue Byte,Ubisoft,
